,Period,Year,Month,Location,Gender,Age-group,Occupation,Income Level,"Personal Hygiene (eg Soap, toothpaste)",Cleaning products,Long lasting (dry) groceries,"Fresh groceries (Fruits, vegetables)",Medicines/Natural remedies,Alcohol beverages,Skin care (eg. Body lotion),Hair care (eg. Shampoo),"Entertainment (eg. Restaurants, movies)","Electronics (eg Phone, Computers)","Beauty (eg Makeup, cosmetics, haircuts)",Clothing,Airtime/Data bundles
4198,2022-02-20,2022,2,N34,Female,Millennials,Salaried employee,Middle Income,Same,More,More,Less,Less,Same,Less,Less,Same,Less,Less,Less,Same
4199,2022-02-20,2022,2,N34,Male,Millennials,Salaried employee,Low Income,Same,More,Same,Same,Not sure,Same,Less,Not sure,Same,Less,Not sure,Less,Same
4200,2022-02-20,2022,2,N34,Male,Gen X,Salaried employee,Low Income,Same,More,More,More,Same,Less,Less,Less,Not sure,Less,Less,Same,Not sure
4201,2022-02-20,2022,2,N34,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Not sure,Not sure,Not sure,Less,Less,Less,Less,Less
4202,2022-02-20,2022,2,N34,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Not sure,Same,Less,Less,Less,Less,Less,Less,Less,Less
4203,2022-02-20,2022,2,N34,Female,Millennials,Salaried employee,Middle Income,More,Same,Same,Same,Same,Same,Same,Same,Same,Same,Less,Less,Less
4204,2022-02-20,2022,2,N34,Female,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Less,More,Less,Less,Less,More,Less,Less,Less
4205,2022-02-20,2022,2,N34,Female,Gen X,Salaried employee,Middle Income,More,More,More,More,More,Less,Less,Less,Less,Less,Less,Less,Less
4206,2022-02-20,2022,2,N34,Male,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Not sure,Less,Less,Less,Less
4207,2022-02-20,2022,2,N34,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Not sure,Not sure,Same,Not sure,Same,Same,Same,Same,Same
4208,2022-02-20,2022,2,N34,Male,Millennials,Salaried employee,High Income,Same,Same,Same,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less
4209,2022-02-20,2022,2,N34,Male,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less
4210,2022-02-20,2022,2,N34,Female,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less
4211,2022-02-20,2022,2,N35,Female,Gen X,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
4212,2022-02-20,2022,2,N35,Female,Gen X,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Less,Less,Less,Same,Same
4213,2022-02-20,2022,2,N35,Female,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
4214,2022-02-20,2022,2,N35,Male,Gen X,Salaried employee,Low Income,Same,Same,Same,Same,Less,More,Less,Not sure,Not sure,Not sure,Not sure,Same,Same
4215,2022-02-20,2022,2,N35,Female,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,More,More,More,More,Same,More,Same,More
4216,2022-02-20,2022,2,N35,Male,Gen X,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
4217,2022-02-20,2022,2,N35,Male,Millennials,Salaried employee,Low Income,Same,Same,Same,Less,Less,Same,Less,Less,Less,Less,Less,Same,Same
4218,2022-02-20,2022,2,N35,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,More,More,More,More,Same,More,Same,Same
4219,2022-02-20,2022,2,N35,Female,Millennials,Salaried employee,Low Income,More,More,Same,Same,Same,Less,Same,Same,Same,Not sure,Not sure,More,More
4220,2022-02-20,2022,2,N35,Male,Millennials,Salaried employee,Low Income,More,More,More,Same,More,More,Same,Same,Same,Not sure,Not sure,Same,More
4221,2022-02-20,2022,2,N36,Female,Gen Z,Salaried employee,Low Income,More,More,More,More,More,Less,Same,Less,Not sure,Less,Less,Less,More
4222,2022-02-20,2022,2,N36,Female,Millennials,Salaried employee,Low Income,More,More,More,More,More,More,Less,Less,Not sure,Not sure,Less,Same,More
4223,2022-02-20,2022,2,N36,Female,Millennials,Salaried employee,Middle Income,More,More,More,More,More,Less,Less,Less,Less,Not sure,Less,Less,More
4224,2022-02-20,2022,2,N36,Female,Gen X,Salaried employee,Middle Income,Same,Same,More,More,More,Less,Less,Less,Not sure,Not sure,Less,Less,More
4225,2022-02-20,2022,2,N36,Female,Baby Boomers,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,More
4226,2022-02-20,2022,2,N36,Female,Baby Boomers,Salaried employee,High Income,More,More,More,More,More,Less,Less,Less,Less,Less,Less,Less,Less
4227,2022-02-20,2022,2,N36,Female,Gen Z,Salaried employee,Low Income,Less,Less,Less,Less,Less,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Same
4228,2022-02-20,2022,2,N36,Male,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Less,Not sure,Not sure,Less,Not sure,Not sure,Not sure,Less,More
4229,2022-02-20,2022,2,N36,Male,Gen X,Salaried employee,Middle Income,More,More,More,More,More,Less,Less,Less,Less,Less,Less,Less,Same
4230,2022-02-20,2022,2,N36,Male,Baby Boomers,Salaried employee,High Income,More,More,More,More,More,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,More
4231,2022-02-20,2022,2,N36,Male,Baby Boomers,Salaried employee,High Income,More,More,More,More,More,Not sure,More,Not sure,Not sure,Not sure,Not sure,Same,More
4232,2022-02-20,2022,2,N36,Male,Gen X,Salaried employee,Middle Income,Less,Less,Less,Same,Less,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,More
4233,2022-02-20,2022,2,N36,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
4234,2022-02-20,2022,2,N36,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Less,Less,Less,Not sure,Not sure,Not sure,Not sure,More
4235,2022-02-20,2022,2,N36,Male,Millennials,Salaried employee,Middle Income,More,More,More,More,More,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Less,More
4236,2022-02-20,2022,2,N37,Male,Baby Boomers,Salaried employee,Middle Income,Same,Same,Not sure,Same,Less,Less,Not sure,Not sure,Not sure,Less,Not sure,Same,Same
4237,2022-02-20,2022,2,N37,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Not sure,Not sure,Not sure,Not sure,Same,Not sure,Same,Same
4238,2022-02-20,2022,2,N37,Male,Millennials,Salaried employee,Middle Income,More,Same,Same,More,Same,Same,Less,Not sure,Same,Less,Not sure,Same,More
4239,2022-02-20,2022,2,N37,Male,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Same,Not sure,Not sure,Not sure,Not sure,Same,Not sure,Same,More
4240,2022-02-20,2022,2,N37,Male,Millennials,Salaried employee,Low Income,More,Same,Less,More,Same,More,Same,Not sure,Same,Same,Same,Same,Same
4241,2022-02-20,2022,2,N37,Male,Millennials,Salaried employee,Low Income,More,More,Same,More,Same,Not sure,More,Not sure,Not sure,Same,Less,Less,Same
4242,2022-02-20,2022,2,N37,Male,Millennials,Salaried employee,Low Income,Same,More,Same,More,More,Not sure,Same,Not sure,Not sure,Less,Same,Same,Same
4243,2022-02-20,2022,2,N37,Male,Millennials,Salaried employee,Low Income,Less,Less,Not sure,Same,Same,Not sure,More,Not sure,More,Same,Same,Less,Same
4244,2022-02-20,2022,2,N37,Female,Baby Boomers,Salaried employee,Middle Income,More,Same,Less,More,Same,Not sure,Same,Same,Not sure,Same,Same,More,More
4245,2022-02-20,2022,2,N37,Female,Baby Boomers,Salaried employee,Middle Income,More,Same,Same,Same,Same,Not sure,Same,Same,Not sure,Same,Same,Same,Same
4246,2022-02-20,2022,2,N37,Female,Gen X,Salaried employee,Low Income,More,Same,Same,More,Same,Not sure,Same,Same,Same,Same,More,Same,More
4247,2022-02-20,2022,2,N37,Female,Gen X,Salaried employee,Low Income,More,Same,More,Same,Same,Not sure,Same,Same,Same,Same,Same,Same,More
4248,2022-02-20,2022,2,N37,Female,Millennials,Salaried employee,Low Income,More,Same,Not sure,More,Same,Not sure,More,Same,Same,Same,Not sure,More,More
4249,2022-02-20,2022,2,N37,Male,Millennials,Salaried employee,Low Income,More,Same,Not sure,More,Not sure,Not sure,Less,Not sure,Not sure,Same,Not sure,Same,Same
4250,2022-02-20,2022,2,N37,Male,Gen X,Salaried employee,Low Income,Same,Same,Not sure,More,Same,Not sure,Less,Not sure,Not sure,Same,Not sure,Same,Same
4251,2022-02-20,2022,2,N4,Female,Millennials,Salaried employee,Middle Income,Less,More,Same,Not sure,More,More,More,Same,More,Less,More,Same,More
4252,2022-02-20,2022,2,N4,Female,Gen X,Salaried employee,Middle Income,Less,Same,More,More,Same,Same,Same,More,More,Same,More,Same,More
4253,2022-02-20,2022,2,N4,Male,Gen X,Salaried employee,Middle Income,Same,More,More,Not sure,Same,More,Same,Same,More,More,More,Same,Same
4254,2022-02-20,2022,2,N4,Female,Millennials,Salaried employee,Middle Income,Same,Same,More,Not sure,Not sure,More,Same,More,Same,Same,Same,More,Same
4255,2022-02-20,2022,2,N4,Female,Millennials,Salaried employee,Middle Income,Less,Same,More,Same,Same,Same,More,Same,More,Same,Same,More,More
4256,2022-02-20,2022,2,N4,Male,Millennials,Salaried employee,Middle Income,Same,Same,Less,Less,Less,Same,Same,Less,Less,Same,Same,Same,Same
4257,2022-02-20,2022,2,N4,Female,Millennials,Salaried employee,Middle Income,Same,More,Same,Same,Less,Same,Less,Same,Same,Same,Same,Same,Same
4258,2022-02-20,2022,2,N4,Female,Millennials,Salaried employee,Middle Income,Less,Same,More,Same,Same,Less,Same,Same,More,More,More,Same,More
4259,2022-02-20,2022,2,N4,Female,Millennials,Salaried employee,Low Income,Same,Same,More,More,Same,Same,More,More,Same,More,Same,More,More
4260,2022-02-20,2022,2,N4,Female,Gen X,Salaried employee,Middle Income,Same,More,Same,More,More,More,Same,More,Same,Less,Less,Same,Same
4261,2022-02-20,2022,2,N4,Female,Gen X,Salaried employee,Low Income,Same,Same,More,More,More,More,Less,Same,More,Same,More,Same,More
4262,2022-02-20,2022,2,N4,Female,Millennials,Salaried employee,Middle Income,Same,More,More,Same,More,Same,Same,More,Same,More,Same,Same,Same
4263,2022-02-20,2022,2,N4,Male,Millennials,Salaried employee,Middle Income,Same,Same,Less,Same,More,Same,Same,Less,Less,Same,Same,Less,Same
4264,2022-02-20,2022,2,N4,Male,Gen Z,Salaried employee,Low Income,Same,More,More,Same,Same,More,More,Same,Same,Less,Same,More,More
4265,2022-02-20,2022,2,N40,Female,Gen X,Salaried employee,High Income,Same,More,Same,Same,More,Not sure,Same,Less,Not sure,Less,Same,Same,Same
4266,2022-02-20,2022,2,N40,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Less,Less,Less,Same,Same,Less,Less,Same,Same,Same
4267,2022-02-20,2022,2,N40,Female,Baby Boomers,Salaried employee,High Income,Same,Same,Same,Same,Same,Less,Same,Same,Less,Less,Less,Same,Same
4268,2022-02-20,2022,2,N41,Male,Gen X,Salaried employee,Low Income,Less,Same,Same,Same,More,More,More,Same,Same,Same,Same,Same,Same
4269,2022-02-20,2022,2,N41,Female,Millennials,Salaried employee,Low Income,Same,Same,More,More,More,More,More,More,More,More,More,More,More
4270,2022-02-20,2022,2,N41,Male,Millennials,Salaried employee,Middle Income,Less,Same,Same,More,More,Same,Same,Same,More,Same,More,More,More
4271,2022-02-20,2022,2,N41,Female,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,More,More,Same,Same,Same,More,Same,Same,Same
4272,2022-02-20,2022,2,N41,Female,Gen X,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
4273,2022-02-20,2022,2,N41,Male,Gen X,Salaried employee,Low Income,More,More,More,More,More,Same,Same,Same,More,More,More,More,More
4274,2022-02-20,2022,2,N41,Male,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,More,Same,Same,Same,Same,Same
4275,2022-02-20,2022,2,N41,Female,Millennials,Salaried employee,Low Income,More,More,More,More,More,More,More,More,Same,Same,Same,Same,Same
4276,2022-02-20,2022,2,N41,Male,Millennials,Salaried employee,Low Income,More,More,More,More,More,More,More,More,Same,Same,Same,Same,Same
4277,2022-02-20,2022,2,N41,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
4278,2022-02-20,2022,2,N41,Male,Gen X,Salaried employee,Low Income,More,More,More,More,More,Same,Same,More,More,More,More,More,More
4279,2022-02-20,2022,2,N41,Male,Baby Boomers,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,More,More,More,More,More,Not sure
4280,2022-02-20,2022,2,N41,Female,Millennials,Salaried employee,Low Income,Not sure,Not sure,Not sure,More,Same,Same,Same,Same,More,Not sure,Not sure,Not sure,Not sure
4281,2022-02-20,2022,2,N41,Male,Baby Boomers,Salaried employee,Low Income,Same,Same,Same,Same,More,More,More,More,More,More,More,Same,Same
4282,2022-02-20,2022,2,N42,Female,Baby Boomers,Salaried employee,High Income,More,Same,More,Less,Same,Same,Not sure,More,Same,Same,More,Not sure,More
4283,2022-02-20,2022,2,N42,Female,Baby Boomers,Salaried employee,Middle Income,More,More,Same,More,More,More,Not sure,More,Same,Less,Same,More,Not sure
4284,2022-02-20,2022,2,N42,Male,Baby Boomers,Salaried employee,Middle Income,Not sure,Less,Same,Not sure,More,More,Same,More,More,More,More,Same,Not sure
4285,2022-02-20,2022,2,N42,Female,Baby Boomers,Salaried employee,Middle Income,Same,Less,More,Not sure,Not sure,More,More,Same,More,Less,More,Same,More
4286,2022-02-20,2022,2,N42,Female,Baby Boomers,Salaried employee,Middle Income,Less,Same,More,More,Same,More,Not sure,Same,Not sure,Same,More,Not sure,More
4287,2022-02-20,2022,2,N42,Male,Baby Boomers,Salaried employee,Middle Income,Same,Less,More,More,More,More,Same,More,Same,More,Same,More,Not sure
4288,2022-02-20,2022,2,N42,Male,Baby Boomers,Salaried employee,High Income,Less,Same,More,More,Not sure,More,More,More,Not sure,More,Less,Same,More
4289,2022-02-20,2022,2,N42,Male,Baby Boomers,Salaried employee,Low Income,Less,Same,More,Same,Same,More,More,Same,Not sure,More,More,Same,More
4290,2022-02-20,2022,2,N42,Female,Baby Boomers,Salaried employee,Middle Income,Same,Same,More,More,More,More,Not sure,More,Not sure,More,Same,Same,Less
4291,2022-02-20,2022,2,N42,Female,Baby Boomers,Salaried employee,Low Income,Less,Same,More,More,More,More,More,More,More,More,Same,More,Not sure
4292,2022-02-20,2022,2,N43,Male,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Not sure,Same,Same,Less,More,Same,Same,Same
4293,2022-02-20,2022,2,N43,Female,Millennials,Salaried employee,Low Income,Same,Same,Less,Same,Same,Not sure,More,Same,Less,Less,Same,Same,Less
4294,2022-02-20,2022,2,N43,Male,Gen Z,Salaried employee,Low Income,More,Same,Less,Same,Less,Not sure,Not sure,Less,Not sure,Not sure,Less,Less,More
4295,2022-02-20,2022,2,N43,Female,Millennials,Salaried employee,Low Income,Same,Less,Less,Same,Less,Not sure,Less,Less,Less,Less,Less,Less,Less
4296,2022-02-20,2022,2,N43,Female,Gen X,Salaried employee,Middle Income,More,Same,Same,More,Less,Not sure,Same,Same,Same,Less,Same,Same,Same
4297,2022-02-20,2022,2,N43,Male,Millennials,Salaried employee,Low Income,Less,Less,Less,Same,Less,Same,Not sure,Not sure,Less,Less,Less,Same,Same
4298,2022-02-20,2022,2,N43,Male,Gen X,Salaried employee,Low Income,Less,Less,Less,Less,Less,Not sure,Less,Less,Less,Less,Less,Same,Same
4299,2022-02-20,2022,2,N43,Female,Gen X,Salaried employee,Low Income,Same,Less,Less,Same,Less,Not sure,Less,Less,Less,Less,Less,Same,Same
4300,2022-02-20,2022,2,N43,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Less,Less,Less,Less,Less,Less,Same,Same
4301,2022-02-20,2022,2,N43,Male,Millennials,Salaried employee,Low Income,Same,Less,Less,Same,Same,Not sure,Not sure,Less,Less,Same,Not sure,Same,Same
4302,2022-02-20,2022,2,N43,Male,Gen X,Salaried employee,Low Income,Same,Less,Less,Same,Less,Less,Less,Less,Less,Less,Less,Same,Same
4303,2022-02-20,2022,2,N43,Male,Gen X,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
4304,2022-02-20,2022,2,N43,Male,Millennials,Salaried employee,Low Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
4305,2022-02-20,2022,2,N43,Female,Gen X,Salaried employee,Low Income,Same,Less,Less,Same,Less,Not sure,Less,Less,Less,Same,Same,Same,Same
4306,2022-02-20,2022,2,N43,Male,Gen X,Salaried employee,Low Income,Same,Less,Less,Same,Less,Less,Not sure,Not sure,Not sure,Not sure,Not sure,Same,Same
4307,2022-02-20,2022,2,N45,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,More,Same,Less,Same,Same,Less,Same,Not sure,Same,Same
4308,2022-02-20,2022,2,N45,Female,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
4309,2022-02-20,2022,2,N45,Female,Gen Z,Salaried employee,Low Income,More,More,Same,More,Same,Not sure,Same,Same,More,Same,More,Same,Same
4310,2022-02-20,2022,2,N45,Male,Millennials,Salaried employee,Middle Income,More,More,Same,Same,Same,Not sure,Same,Same,Same,More,Same,Less,Same
4311,2022-02-20,2022,2,N45,Male,Millennials,Salaried employee,Middle Income,Same,More,Same,More,More,Same,More,Same,Same,More,Same,Less,More
4312,2022-02-20,2022,2,N45,Female,Millennials,Salaried employee,Low Income,More,Same,Less,Less,More,More,Same,More,Same,More,Same,Less,More
4313,2022-02-20,2022,2,N45,Male,Millennials,Salaried employee,Middle Income,Same,More,Same,Same,More,More,Same,More,Same,Less,Same,Same,Same
4314,2022-02-20,2022,2,N45,Female,Gen Z,Salaried employee,Middle Income,Same,More,Same,Same,Same,Same,Less,Same,More,More,Same,Same,More
4315,2022-02-20,2022,2,N45,Female,Millennials,Salaried employee,Middle Income,Same,More,Same,More,Less,Less,Same,Less,Same,More,Same,Less,Same
4316,2022-02-20,2022,2,N45,Male,Millennials,Salaried employee,Middle Income,More,More,Same,More,More,More,Same,Same,Same,Same,Not sure,Same,Same
4317,2022-02-20,2022,2,N46,Female,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Less,Same,Same,Less,Less,Same,Same,Same
4318,2022-02-20,2022,2,N46,Male,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure
4319,2022-02-20,2022,2,N46,Male,Gen X,Salaried employee,High Income,Same,Same,Same,Less,Less,Less,Same,Less,Less,Less,Less,Same,Same
4320,2022-02-20,2022,2,N46,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Not sure,Not sure,Same,Same,Same,Same,Less,Less,Same,Same
4321,2022-02-20,2022,2,N46,Male,Baby Boomers,Salaried employee,High Income,Same,Same,Same,Same,Same,Not sure,Same,Same,Less,Same,Same,Same,Same
4322,2022-02-20,2022,2,N46,Female,Gen Z,Salaried employee,Middle Income,Same,Same,Same,Same,Not sure,Less,Same,Same,Less,Less,Same,Same,Same
4323,2022-02-20,2022,2,N46,Male,Baby Boomers,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Less,Less,Less,Less,Less,Same,Same,Same
4324,2022-02-20,2022,2,N46,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Less,Same,Same,Less,Less,Same,Same,Same
4325,2022-02-20,2022,2,N46,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Less,Same,Less,Less,Less,Less,Less,Same
4326,2022-02-20,2022,2,N46,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Less,Same,Same,Less,Less,Same,Same,Same
4327,2022-02-20,2022,2,N46,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Less,Less,Same,Less,Same
4328,2022-02-20,2022,2,N47,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Not sure,Less,Same,Same,Same,Less,Same,Less,Same
4329,2022-02-20,2022,2,N47,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Not sure,Same,Less,Less,Less,Less,Same,Same
4330,2022-02-20,2022,2,N47,Female,Gen X,Salaried employee,Middle Income,Same,Same,Less,Same,Not sure,Not sure,Less,Less,Less,Less,Same,Same,Same
4331,2022-02-20,2022,2,N47,Female,Millennials,Salaried employee,Middle Income,Same,Same,Not sure,Same,Not sure,Less,Same,Same,Less,Less,Same,Same,More
4332,2022-02-20,2022,2,N47,Female,Gen Z,Salaried employee,Low Income,Same,Same,Less,Same,Less,Not sure,Same,Same,Less,Same,Not sure,Same,Same
4333,2022-02-20,2022,2,N47,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Not sure,Same,Same,More,More,Not sure,Same,More
4334,2022-02-20,2022,2,N47,Male,Baby Boomers,Salaried employee,High Income,Same,Same,Same,Same,Less,Same,Same,Same,Same,Less,Less,Less,More
4335,2022-02-20,2022,2,N47,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Not sure,Same,Same,Same,Less,Same,Not sure,Less,Same
4336,2022-02-20,2022,2,N47,Male,Gen X,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Less,Less,Same,Same,Same
4337,2022-02-20,2022,2,N47,Female,Baby Boomers,Salaried employee,Low Income,Same,Same,Same,Same,More,Not sure,Same,Not sure,Not sure,Not sure,Not sure,Same,Not sure
4338,2022-02-20,2022,2,N47,Female,Baby Boomers,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Not sure,Same,Same,Not sure,Less,Same,Not sure,Same
4339,2022-02-20,2022,2,N47,Female,Baby Boomers,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Not sure,Same,Same,Same,Same,Same,Same,Same
4340,2022-02-20,2022,2,N47,Female,Millennials,Salaried employee,Middle Income,Same,Less,Less,Less,Not sure,Not sure,Same,Less,Less,Less,Same,Less,Same
4341,2022-02-20,2022,2,N47,Female,Millennials,Salaried employee,Low Income,Less,Less,Less,Less,Not sure,Not sure,Less,Less,Not sure,Not sure,Less,Less,Less
4342,2022-02-20,2022,2,N47,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
4343,2022-02-20,2022,2,N48,Female,Millennials,Salaried employee,Middle Income,More,Less,Same,Not sure,Less,More,Same,More,More,Not sure,Same,More,Same
4344,2022-02-20,2022,2,N48,Male,Millennials,Salaried employee,Low Income,More,Not sure,Same,More,Less,Less,Same,Same,More,Same,Same,Same,More
4345,2022-02-20,2022,2,N48,Male,Millennials,Salaried employee,Low Income,More,Less,More,Same,Less,Same,More,Less,Less,Same,More,Same,Same
4346,2022-02-20,2022,2,N48,Female,Millennials,Salaried employee,Middle Income,More,Less,More,Not sure,More,Less,More,Less,Same,More,Same,More,Not sure
4347,2022-02-20,2022,2,N48,Female,Millennials,Salaried employee,Middle Income,Same,Less,More,Not sure,Less,Same,More,Same,Less,Same,More,Same,Same
4348,2022-02-20,2022,2,N48,Male,Gen Z,Salaried employee,Middle Income,More,Less,Not sure,Less,Not sure,Same,More,Not sure,Not sure,More,Same,Same,Same
4349,2022-02-20,2022,2,N48,Male,Millennials,Salaried employee,Middle Income,More,Less,More,Less,Not sure,More,Not sure,Less,More,Not sure,Same,Less,More
4350,2022-02-20,2022,2,N48,Female,Millennials,Salaried employee,Middle Income,More,Not sure,Less,More,More,Less,Same,More,Less,More,Less,More,Same
4351,2022-02-20,2022,2,N48,Male,Gen X,Salaried employee,Middle Income,More,Less,More,Not sure,Same,Same,Less,More,Same,More,More,Not sure,Not sure
4352,2022-02-20,2022,2,N48,Female,Millennials,Salaried employee,Middle Income,Same,Not sure,More,Not sure,Same,More,Not sure,Not sure,Same,Less,Same,More,Same
4353,2022-02-20,2022,2,N48,Female,Millennials,Salaried employee,Middle Income,Same,Less,Not sure,Same,More,Not sure,Same,Less,Same,More,Same,Same,Same
4354,2022-02-20,2022,2,N48,Male,Millennials,Salaried employee,Middle Income,More,Less,Less,More,Same,Less,Same,Less,Same,More,Same,More,More
4355,2022-02-20,2022,2,N48,Female,Gen X,Salaried employee,Low Income,More,Less,Not sure,Same,Less,More,Same,Less,Less,Same,More,Same,More
4356,2022-02-20,2022,2,N48,Male,Millennials,Salaried employee,Low Income,More,Less,Not sure,Same,Less,Same,Same,Less,More,Same,More,Same,Same
4357,2022-02-20,2022,2,N48,Female,Gen X,Salaried employee,Middle Income,Same,Not sure,Same,More,Less,Not sure,Same,Less,More,Not sure,Same,More,Same
4358,2022-02-20,2022,2,N5,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
4359,2022-02-20,2022,2,N5,Female,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
4360,2022-02-20,2022,2,N5,Female,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
4361,2022-02-20,2022,2,N5,Male,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
4362,2022-02-20,2022,2,N5,Female,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
4363,2022-02-20,2022,2,N5,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
4365,2022-02-20,2022,2,N5,Female,Baby Boomers,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
4366,2022-02-20,2022,2,N5,Male,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
4369,2022-02-20,2022,2,N5,Female,Gen X,Salaried employee,Low Income,Same,Same,Same,Same,More,Same,More,Same,Same,Same,Same,Same,Same
4372,2022-02-20,2022,2,N5,Male,Millennials,Salaried employee,Low Income,Same,Same,More,Same,Same,Same,More,Same,More,Same,More,Same,More
4373,2022-02-20,2022,2,N50,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Not sure,Same,Same,Less,Less,Same,Less,Same
4374,2022-02-20,2022,2,N50,Male,Millennials,Salaried employee,Low Income,Less,Less,Not sure,Not sure,Same,Not sure,Less,Same,Less,Not sure,Less,Less,Less
4375,2022-02-20,2022,2,N50,Female,Millennials,Salaried employee,Low Income,Same,Less,Not sure,Same,Less,Not sure,Less,Less,Less,Less,Less,Less,Less
4376,2022-02-20,2022,2,N50,Female,Millennials,Salaried employee,Low Income,More,Same,Same,Less,Less,Not sure,Same,Same,Less,Less,Same,Less,Less
4377,2022-02-20,2022,2,N50,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Not sure,Same,Same,Not sure,Less,Same,Less,Same
4378,2022-02-20,2022,2,N50,Male,Gen Z,Salaried employee,Low Income,Same,Same,Less,Same,Less,Not sure,Less,Less,Same,Less,Less,Less,Same
